gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,13,No,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,61.59,6313.24,0
Female,0,Yes,Yes,64,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,104.74,6303.18,0
Female,0,Yes,No,61,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,99.51,2104.9,0
Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),101.35,2150.64,1
Female,1,No,Yes,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,29.11,4896.73,0
Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),34.92,4891.5,0
Female,0,No,No,66,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),40.04,5879.94,0
Female,0,No,Yes,8,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Mailed check,110.99,817.4,0
Male,0,No,No,59,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Mailed check,56.18,5392.55,0
Female,0,Yes,Yes,25,Yes,No,DSL,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,85.51,5897.3,1
Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.24,2267.28,0
Female,1,No,No,45,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,93.32,2102.54,0
Male,0,No,Yes,2,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,96.31,5333.72,0
Female,0,No,No,42,No,No,DSL,No,No internet service,No,No internet service,Yes,No,Two year,No,Bank transfer (automatic),94.56,976.82,0
Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),24.35,4355.55,0
Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Mailed check,29.83,4039.97,0
Male,0,No,No,46,No,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),94.26,5396.78,1
Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,82.68,4869.03,0
Male,0,Yes,Yes,33,Yes,No,No,No,No,No internet service,No,No,Yes,One year,No,Electronic check,56.4,6524.1,0
Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.43,533.9,0
Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,20.36,5190.94,1
Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),63.12,5755.08,0
Male,0,No,No,3,No,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,36.7,6350.08,0
Female,0,No,No,70,Yes,No,No,No,No internet service,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),116.6,2992.91,0
Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,Two year,No,Mailed check,51.69,2375.01,0
Male,1,Yes,No,55,Yes,No phone service,No,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),99.7,5333.62,0
Female,1,Yes,No,31,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,32.72,4144.53,0
Female,0,No,No,21,Yes,No,No,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,38.01,3041.82,0
Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),89.81,5973.34,0
Female,0,No,No,17,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,97.3,3874.6,0
Male,0,No,No,1,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,109.87,3690.81,0
Female,1,No,No,65,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,89.44,2900.33,0
Male,0,No,Yes,66,No,No,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,90.76,440.12,1
Female,1,Yes,No,37,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,One year,No,Mailed check,43.26,6676.99,0
Female,1,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),114.59,2774.81,1
Female,0,No,No,62,Yes,No,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,91.28,3520.69,0
Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.74,988.76,0
Female,0,No,No,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,84.9,4929.19,0
Male,1,Yes,No,35,Yes,No phone service,DSL,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,100.96,4776.58,0
Female,0,No,Yes,38,No,No phone service,Fiber optic,No,No,No,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),66.33,2469.11,1
Male,1,No,Yes,53,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,No,Credit card (automatic),53.76,2897.36,1
Female,0,No,Yes,15,No,No,Fiber optic,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,105.97,6005.87,0
Male,0,No,Yes,42,No,No,DSL,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),105.48,4297.85,0
Male,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,98.53,2038.34,0
Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,40.49,4531.65,0
Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),76.0,7005.94,0
Female,0,No,No,15,Yes,No,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.01,7973.41,0
Female,0,No,No,12,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No,Two year,No,Credit card (automatic),89.76,770.11,0
Female,0,No,No,70,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,109.51,3609.5,0
Female,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),44.69,3602.91,1
Female,1,No,Yes,38,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,51.0,7553.41,0
Female,1,Yes,No,28,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Two year,No,Electronic check,43.65,7366.27,1
Female,0,No,Yes,19,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),95.67,3621.77,0
Female,0,No,No,69,Yes,No phone service,DSL,Yes,No internet service,No,No,No,No,Two year,No,Credit card (automatic),69.7,2182.34,0
Female,0,No,No,64,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.63,5176.61,1
Female,0,No,No,4,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,69.55,1008.33,0
Female,1,No,Yes,10,No,No,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,50.8,1667.53,0
Male,0,No,No,12,Yes,No,DSL,No,No internet service,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),42.88,6584.98,0
Male,0,Yes,No,69,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),100.35,6709.05,0
Female,0,No,Yes,7,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.97,7242.5,0
Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.07,5977.41,0
Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),49.91,1376.68,0
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Mailed check,37.25,2368.17,0
Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),47.09,3730.24,1
Female,0,Yes,No,69,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,109.28,2591.82,0
Female,0,No,No,20,No,No,No,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,53.68,4296.22,0
Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,26.4,803.98,1
Male,0,Yes,No,70,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),68.99,7619.32,1
Female,0,No,No,51,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,52.91,7836.59,0
Male,0,Yes,Yes,31,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Mailed check,67.94,632.98,0
Female,0,No,Yes,41,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),88.93,371.02,0
Female,0,No,Yes,58,Yes,No phone service,No,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,115.5,3923.11,0
Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,97.9,1190.44,0
Female,1,No,No,33,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,69.47,1152.59,1
Male,1,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),97.33,2972.64,0
Female,0,Yes,No,19,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,43.95,7668.77,1
Female,1,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Credit card (automatic),102.72,7497.59,0
Male,0,No,No,3,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),75.17,7426.64,0
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,101.23,1387.97,1
Male,0,Yes,Yes,41,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.31,725.96,1
Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),53.16,925.84,0
Male,0,No,No,39,Yes,No phone service,Fiber optic,No,Yes,No,No,No internet service,No,Two year,No,Mailed check,30.9,4741.22,0
Male,0,Yes,Yes,5,No,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),66.53,2746.25,0
Female,0,No,No,11,No,No phone service,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,93.71,7008.54,1
Female,0,Yes,No,22,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,One year,Yes,Electronic check,49.65,5287.99,0
Male,0,Yes,No,64,Yes,No,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.62,7985.18,0
Female,1,Yes,No,12,Yes,No phone service,DSL,No,Yes,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),96.87,7271.47,0
Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),38.67,4586.74,0
Female,0,No,No,55,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),60.69,6659.31,0
Male,0,Yes,No,53,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,One year,No,Electronic check,81.83,1324.44,0
Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),56.98,6888.69,0
Male,0,No,No,19,Yes,No,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Electronic check,116.44,5741.17,0
Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,111.95,3128.81,0
Male,0,Yes,Yes,66,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),114.9,6465.91,0
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),118.23,5274.38,0
Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,117.35,741.04,0
Male,0,Yes,No,59,Yes,No,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,51.61,7832.48,0
Male,0,Yes,No,23,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Mailed check,72.76,2205.83,0
Female,0,Yes,No,3,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,98.38,4400.72,0
Male,0,No,Yes,56,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,No,Mailed check,91.96,6960.53,0
Female,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,46.23,2345.18,0
Female,1,No,No,62,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),56.33,1885.68,0
Female,1,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,113.8,4464.91,0
Male,1,No,No,61,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,113.35,2847.15,0
Male,0,Yes,No,37,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),92.59,5550.43,0
Male,0,No,No,54,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),20.65,2608.3,0
Male,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,71.62,7914.65,0
Female,0,No,No,14,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),40.97,2298.27,0
Male,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.48,5117.36,1
Male,0,Yes,Yes,62,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,28.12,2208.1,1
Male,1,No,No,1,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,100.78,3718.39,0
Male,0,No,No,63,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,One year,No,Electronic check,50.6,2365.79,0
Male,1,Yes,No,67,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,57.16,3356.26,0
Female,0,No,No,20,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No internet service,Month-to-month,No,Electronic check,89.41,5073.93,0
Male,0,Yes,No,43,Yes,No,No,No internet service,No,No internet service,Yes,No,Yes,Two year,No,Mailed check,42.93,5661.01,0
Female,0,Yes,No,42,Yes,No,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.22,1923.64,0
Male,0,No,No,69,Yes,No,No,No,No,No internet service,No,No,No,One year,Yes,Credit card (automatic),113.01,7198.15,0
Female,0,Yes,No,39,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,118.82,2611.8,0
Male,0,No,Yes,62,Yes,Yes,No,No,Yes,No,No,No,Yes,Two year,No,Electronic check,89.28,541.67,1
Male,0,Yes,No,48,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,76.09,7577.67,0
Female,0,No,Yes,6,Yes,No,No,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.12,2215.03,0
Female,1,No,Yes,42,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),48.35,7974.21,0
Female,0,No,No,58,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),73.28,4400.72,0
Male,1,No,No,43,No,Yes,DSL,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Mailed check,41.72,6797.98,0
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),52.59,911.58,1
Male,0,No,No,39,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),90.23,4435.08,0
Male,0,Yes,No,13,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,29.74,198.84,0
Female,0,No,Yes,39,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No,One year,Yes,Electronic check,68.59,3069.18,0
Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,104.14,377.0,1
Male,0,No,No,16,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,69.59,3724.86,1
Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.09,5719.03,0
Female,0,Yes,No,60,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),55.55,7026.66,0
Female,0,No,No,59,Yes,No,DSL,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),77.9,5337.48,0
Female,0,Yes,No,51,Yes,Yes,No,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,82.26,5815.13,0
Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,20.81,1781.5,0
Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),37.91,2378.48,0
Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,One year,Yes,Credit card (automatic),89.17,7505.36,1
Male,0,Yes,No,56,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,28.32,1346.59,0
Male,0,No,Yes,60,No,No,DSL,No internet service,Yes,Yes,No,No,No,One year,No,Credit card (automatic),105.1,7926.08,0
Male,0,Yes,Yes,70,No,No,No,No internet service,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),50.54,6732.19,0
Female,0,No,No,47,Yes,No phone service,No,Yes,No,No internet service,Yes,No,Yes,Two year,No,Mailed check,98.77,6428.86,0
Male,0,Yes,No,8,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,104.17,6476.57,0
Male,0,No,Yes,63,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),113.84,3012.54,1
Male,0,Yes,No,7,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,90.88,6351.91,1
Female,1,No,Yes,2,Yes,No phone service,No,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),106.18,2867.06,0
Male,0,Yes,Yes,17,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),47.28,2962.42,0
Male,0,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Two year,Yes,Mailed check,21.56,6361.64,0
Female,0,Yes,No,26,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),87.95,3153.33,0
